epoch,accuracy,loss,val_accuracy,val_loss
0,0.892037034034729,0.3544377386569977,0.9791666865348816,0.0779537484049797
1,0.9660000205039978,0.11107619106769562,0.9838333129882812,0.056342385709285736
2,0.9738888740539551,0.08419036865234375,0.9856666922569275,0.04918791353702545
3,0.9776296019554138,0.07115588337182999,0.9869999885559082,0.04512876272201538
4,0.9804259538650513,0.06190946325659752,0.9886666536331177,0.04020273685455322
5,0.9824814796447754,0.05581367015838623,0.9906666874885559,0.03917909041047096
6,0.9837407469749451,0.052497126162052155,0.9913333058357239,0.03387114033102989
7,0.9851852059364319,0.04765940085053444,0.9906666874885559,0.03254008665680885
8,0.9868703484535217,0.04273225739598274,0.9911666512489319,0.032468825578689575
9,0.9870926141738892,0.04041885957121849,0.9893333315849304,0.033594753593206406
